tconst|primaryTitle|originalTitle|startYear|imdb_id|revenue|budget|runtime|release_date|popularity|genre__Action|genre__Adventure|genre__Biography|genre__Comedy|genre__Crime|genre__Drama|genre__Family|genre__Fantasy|genre__History|genre__Horror|genre__Music|genre__Musical|genre__Mystery|genre__Romance|genre__Sci-Fi|genre__Sport|genre__Thriller|genre__War|genre__Western
tt0035423|Kate & Leopold|Kate & Leopold|2001.0|tt0035423|76019048.0|48000000.0|118.0|2001-12-25|19.341||||1.0||||1.0||||||1.0|||||
tt0080360|Altered States|Altered States|1980.0|tt0080360|19853892.0|15000000.0|102.0|1980-12-25|10.58||||||||||1.0|||||1.0||1.0||
tt0080365|American Gigolo|American Gigolo|1980.0|tt0080365|22743674.0|4800000.0|117.0|1980-02-08|11.712|||||1.0|1.0|||||||1.0||||||
tt0080388|Atlantic City|Atlantic City, USA|1980.0|tt0080388|12729675.0|7200000.0|104.0|1980-09-02|11.347|||||1.0|1.0||||||||1.0|||||
tt0080421|Battle Beyond the Stars|Battle Beyond the Stars|1980.0|tt0080421|11000000.0|2000000.0|104.0|1980-09-08|9.675|1.0|1.0|||||||||||||1.0||||
tt0080437|The Big Red One|The Big Red One|1980.0|tt0080437|7206220.0|4500000.0|113.0|1980-05-28|6.903||||||1.0||||||||||||1.0|
tt0080474|Brubaker|Brubaker|1980.0|tt0080474|37121708.0|9000000.0|125.0|1980-06-20|12.578|||||1.0|1.0|||||||||||||
tt0080487|Caddyshack|Caddyshack|1980.0|tt0080487|39846344.0|6000000.0|98.0|1980-07-25|15.3||||1.0||||||||||||1.0|||
tt0080549|Coal Miner's Daughter|Coal Miner's Daughter|1980.0|tt0080549|67182787.0|15000000.0|125.0|1980-03-07|13.476|||1.0|||1.0|||||1.0||||||||
tt0080661|Dressed to Kill|Dressed to Kill|1980.0|tt0080661|31899000.0|6500000.0|105.0|1980-07-25|10.873|||||||||||||1.0||||1.0||
tt0080684|Star Wars: Episode V - The Empire Strikes Back|Star Wars: Episode V - The Empire Strikes Back|1980.0|tt0080684|538400000.0|18000000.0|124.0|1980-05-20|29.604|1.0|1.0||||||1.0|||||||||||
tt0080745|Flash Gordon|Flash Gordon|1980.0|tt0080745|27107960.0|35000000.0|111.0|1980-09-01|24.545|1.0|1.0|||||||||||||1.0||||
tt0080749|The Fog|The Fog|1980.0|tt0080749|21378361.0|1000000.0|89.0|1980-02-08|15.146||||||||||1.0|||||||1.0||
tt0080771|Galaxina|Galaxina|1980.0|tt0080771|4865000.0|5500000.0|95.0|1980-06-06|4.816||||1.0|||||||||||1.0||||
tt0080855|Heaven's Gate|Heaven's Gate|1980.0|tt0080855|3484331.0|44000000.0|219.0|1980-11-19|9.018||1.0||||1.0|||||||||||||1.0
tt0080881|The Hollywood Knights|The Hollywood Knights|1980.0|tt0080881|10000000.0|2500000.0|91.0|1980-05-18|4.332||||1.0|||||||||||||||
