|tconst|value|type
0|tt0035423|Comedy|genre
1|tt0035423|Fantasy|genre
2|tt0035423|Romance|genre
3|tt0080360|Horror|genre
4|tt0080360|Sci-Fi|genre
5|tt0080360|Thriller|genre
6|tt0080365|Crime|genre
7|tt0080365|Drama|genre
8|tt0080365|Mystery|genre
9|tt0080388|Crime|genre
10|tt0080388|Drama|genre
11|tt0080388|Romance|genre
12|tt0080421|Action|genre
13|tt0080421|Adventure|genre
14|tt0080421|Sci-Fi|genre
15|tt0080437|Drama|genre
16|tt0080437|War|genre
17|tt0080474|Crime|genre
18|tt0080474|Drama|genre
19|tt0080487|Comedy|genre
20|tt0080487|Sport|genre
21|tt0080549|Biography|genre
22|tt0080549|Drama|genre
23|tt0080549|Music|genre
24|tt0080661|Mystery|genre
25|tt0080661|Thriller|genre
26|tt0080684|Action|genre
27|tt0080684|Adventure|genre
28|tt0080684|Fantasy|genre
29|tt0080745|Action|genre
30|tt0080745|Adventure|genre
31|tt0080745|Sci-Fi|genre
32|tt0080749|Horror|genre
33|tt0080749|Thriller|genre
34|tt0080771|Comedy|genre
35|tt0080771|Sci-Fi|genre
36|tt0080855|Adventure|genre
37|tt0080855|Drama|genre
38|tt0080855|Western|genre
39|tt0080881|Comedy|genre
40|tt0080979|Drama|genre
41|tt0080979|History|genre
42|tt0080979|War|genre
43|tt0081283|Drama|genre
44|tt0081353|Adventure|genre
45|tt0081353|Comedy|genre
46|tt0081353|Family|genre
47|tt0081383|Horror|genre
48|tt0081383|Thriller|genre
49|tt0081398|Biography|genre
50|tt0081398|Drama|genre
51|tt0081398|Sport|genre
52|tt0081400|Action|genre
53|tt0081400|Adventure|genre
54|tt0081400|Drama|genre
55|tt0081439|Adventure|genre
56|tt0081439|Comedy|genre
57|tt0081439|Crime|genre
58|tt0081455|Horror|genre
59|tt0081455|Sci-Fi|genre
60|tt0081455|Thriller|genre
61|tt0081505|Drama|genre
62|tt0081505|Horror|genre
63|tt0081554|Comedy|genre
64|tt0081554|Drama|genre
65|tt0081573|Action|genre
66|tt0081573|Adventure|genre
67|tt0081573|Sci-Fi|genre
68|tt0081633|Adventure|genre
69|tt0081633|Comedy|genre
70|tt0081633|Fantasy|genre
71|tt0081698|Comedy|genre
72|tt0081758|Comedy|genre
73|tt0081758|Drama|genre
74|tt0081758|Romance|genre
75|tt0081777|Fantasy|genre
76|tt0081777|Musical|genre
77|tt0081777|Romance|genre
78|tt0081974|Drama|genre
79|tt0081974|Romance|genre
80|tt0081974|Thriller|genre
81|tt0082005|Crime|genre
82|tt0082005|Thriller|genre
83|tt0082010|Comedy|genre
84|tt0082010|Horror|genre
85|tt0082031|Comedy|genre
86|tt0082031|Romance|genre
87|tt0082085|Mystery|genre
88|tt0082085|Thriller|genre
89|tt0082089|Crime|genre
90|tt0082089|Drama|genre
91|tt0082089|Romance|genre
92|tt0082138|Comedy|genre
93|tt0082138|Drama|genre
94|tt0082158|Biography|genre
95|tt0082158|Drama|genre
96|tt0082158|Sport|genre
97|tt0082186|Action|genre
98|tt0082186|Adventure|genre
99|tt0082186|Family|genre
