Quiet American, The (1958),,,,,
Following Sean (2005),,,,,,
Witnesses, The (Les témoins) (2007),,,,,
Oxford Murders, The (2007),,,,,
Bigger, Stronger, Faster* (2008),,,,
Memories of Matsuko (Kiraware Matsuko no isshô) (2006),,,,,,
What Would Jesus Buy? (2007),,,,,,
Extreme Private Eros: Love Song 1974 (1974),,,,,,
Emperor's Naked Army Marches On, The (Yuki Yukite shingun) (1987),,,,,
Antonio das Mortes (O Dragão da Maldade contra o Santo Guerreiro) (1969),,,,,,
Cold Sweat (De la part des copains) (1970),,,,,,
FBI Story, The (1959),,,,,
Honor Among Thieves (Adieu l'ami) (Farewell, Friend) (1968),,,,,
Iron Mask, The (1929),,,,,
Villa Rides! (1968),,,,,,
Wings of Eagles, The (1957),,,,,
World Moves On, The (1934),,,,,
Lonelyhearts (1958),,,,,,
Boat People (Tau ban no hoi) (1982),,,,,,
Wrong Move, The (Falsche Bewegung) (1975),,,,,
Dust in the Wind (1987),,,,,,
Prefab People, The (Panelkapcsolat) (1982),,,,,
And When Did You Last See Your Father? (2007),,,,,,
My Brother Is an Only Child (Mio fratello è figlio unico) (2006),,,,,,
July Rhapsody (Laam yan sei sap) (2002),,,,,,
Lost World, The (1960),,,,,
Mark of Zorro, The (1920),,,,,
Three Musketeers, The (1921),,,,,
Fidanzati, I (Fiances, The) (1963),,,,
Boys and Girls Guide to Getting Down, The (2006),,,,,
Warlords, The (Tau ming chong) (2007),,,,,
Incredible Hulk, The (2008),,,,,
Children of Huang Shi, The (2008),,,,,
Boy Culture (2006),,,,,,
Angel Face (1952),,,,,,
Turn the River (2007),,,,,,
Young People Fucking (a.k.a. YPF) (2007),,,,,,
Rape of Europa, The (2006),,,,,
Battlefield Baseball (Jigoku kôshien) (2003),,,,,,
Sandglass, The (Sanatorium pod klepsydra) (1973),,,,,
Color of Pomegranates, The (Sayat Nova) (1968),,,,,
Unholy Three, The (1925),,,,,
Unholy Three, The (1930),,,,,
Dog Day (Canicule) (1984),,,,,,
Goddess (Devi) (1960),,,,,,
Bambi 2 (2006),,,,,,
Strange Circus (Kimyô na sâkasu) (2005),,,,,,
Black Swan, The (1942),,,,,
Encounters at the End of the World (2008),,,,,,
Bad Blood (Mauvais sang) (1986),,,,,,
Dante 01 (2008),,,,,,
Zombie Strippers! (2008),,,,,,
Alexandra (Aleksandra) (2007),,,,,,
Mamma Mia! (2008),,,,,,
Welcome to the Sticks (Bienvenue chez les Ch'tis) (2008),,,,,,
Pornographers, The (Erogotoshi-tachi yori: Jinruigaku nyûmon) (1966),,,,,
Stone Angel, The (2007),,,,,
Summer of '04 (Sommer '04) (2006),,,,,,
Home of Dark Butterflies, The (Tummien perhosten koti) (2008),,,,,
Towelhead (a.k.a. Nothing is Private) (2007),,,,,,
No Regrets for Our Youth (Waga seishun ni kuinashi) (1946),,,,,,
Pan Tadeusz: The Last Foray in Lithuania (Pan Tadeusz) (1999),,,,,,
Machine Girl, The (Kataude mashin gâru) (2008),,,,,
Water Lilies (Naissance des pieuvres) (2007),,,,,,
Manslaughter (Drabet) (2005),,,,,,
Bench, The (Bænken) (2000),,,,,
Breath (Soom) (2007),,,,,,
Just Another Love Story (Kærlighed på film) (2007),,,,,,
Substitute, The (Vikaren) (2007),,,,,
Next Door (Naboer) (2005),,,,,,
Chinese Roulette (Chinesisches Roulette) (1976),,,,,,
Heartbeat Detector (Question humaine, La) (2007),,,,,
Death Note (2006),,,,,,
Majority of One, A (1961),,,,,
Tall T, The (1957),,,,,
Last Mistress, The (vieille maîtresse, Une) (2007),,,,
WarGames: The Dead Code (2008),,,,,,
X-Files: I Want to Believe, The (2008),,,,,
Little Drummer Boy, The (1968),,,,,
Lost in Beijing (Ping guo) (2007),,,,,,
Tracey Fragments, The (2007),,,,,
Family Game, The (Kazoku gêmu) (1983),,,,,
Zone, The (La Zona) (2007),,,,,
Edge of Love, The (2008),,,,,
